cost:RealisticUsageScenario;response time:RealisticUsageScenario;POFOD:RealisticUsageScenario;lower bound confidence(response time:RealisticUsageScenario);upper bound confidence(response time:RealisticUsageScenario);alpha(response time:RealisticUsageScenario);ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;AllocationDegreeImpl:Allocation_Assembly_FileStorage <FileStorage> <FileStorage>;AllocationDegreeImpl:Allocation_Assembly_Packaging <Packaging> <Packaging>;AllocationDegreeImpl:Allocation_Assembly_MediaAccess <MediaAccess> <MediaAccess>;AllocationDegreeImpl:Allocation_Assembly_MediaManagement <MediaManagement> <MediaManagement>;AllocationDegreeImpl:DecoderInstance_Allocation;AllocationDegreeImpl:LogAnalyzerInstance_Allocation;AllocationDegreeImpl:LogCollectorInstance_Allocation;AllocationDegreeImpl:AlertHandlerInstance_Allocation;AllocationDegreeImpl:AgentInstance_Allocation;AllocationDegreeImpl:Adapter_DetectionInstance_Allocation;Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Network LAN;Candidate ID;
193211.91033872875;17.000787225392994;3.240893681999424E-5;0.0;Infinity;0.95;5.936083302669926E9;4.991883004842405E9;6.784710719911991E9;4.708474035572957E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.084322585807031;0.0028399708956006187;0.003613368419963181;NaN;0.352443465097683;3;
261341.22632662783;19.72726372733001;3.084617981052862E-5;0.0;Infinity;0.95;7.833441296021771E9;3.5893650674453983E9;9.429307125753418E9;1.0766472091188147E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.05832411415374528;NaN;0.004518448455696933;0.0012346308106421233;0.4192006386790301;8;
207001.42731091208;20.911011289528044;3.2059625820646254E-5;0.0;Infinity;0.95;7.634055314081449E9;4.889847671866948E9;6.006039839979357E9;2.9535476473807354E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.05985037247122016;NaN;0.007130439547660683;4.483864682471861E-4;0.43453392223160825;9;
104451.04005698627;10.502167722771981;3.76681687018765E-5;0.0;Infinity;0.95;3.6931078863390136E9;3.919818596028387E8;3.110294784126737E9;4.206785465691296E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.006754803560810929;NaN;0.16688705607758114;0.0033202194304229327;0.17678370431872126;18;
64282.497562373435;14.062289942038053;4.489563280707376E-5;0.0;Infinity;0.95;2.169467727386351E9;2.4596512690802107E9;1.9560321101052113E9;1.995485407698907E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.2277393280513117;0.005259259973616093;NaN;NaN;0.1882949967041294;19;
165807.16938911934;14.854652979245976;3.377599063758563E-5;0.0;Infinity;0.95;6.700177795777258E9;3.406964652321007E9;4.193633496830697E9;4.7665243712805395E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);5.49766554880371E-6;NaN;0.12346076765193015;0.002850538643626166;0.30397750448333993;28;
54194.3125503534;13.577180213909982;4.9040491405527575E-5;0.0;Infinity;0.95;1.4450556222176938E9;2.1893231472548356E9;2.0078985478058662E9;4.914985222857526E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.33987642185654754;NaN;0.022417564624417685;2.832888091727215E-4;0.034630064412682016;30;
123541.10114155237;17.375642343003985;3.6435389233813176E-5;0.0;Infinity;0.95;5.035713480252993E9;2.450768757172371E9;3.0403599291838317E9;1.049949922133662E10;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);8.063678715974909E-6;NaN;0.18237439039087822;0.0014146428731220961;0.3256102066960599;53;
192113.89531547224;7.415732051801962;3.243217844373092E-5;0.0;Infinity;0.95;6.642903747133913E9;4.334454480056143E9;6.004689273897569E9;1.11234372962185E9;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.07421820554521685;0.003157828738277857;0.004047312266421632;NaN;0.16716962764737198;60;
246959.41318491797;14.048135641092943;3.1133502725766427E-5;0.0;Infinity;0.95;7.188836366832279E9;1.4065344677109685E9;9.11512451216225E9;4.1436312473608055E10;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.07306863378236339;0.009605830837911666;1.991826687253173E-6;NaN;0.3140060587332114;61;
