cost:RealisticUsageScenario;response time:RealisticUsageScenario;POFOD:RealisticUsageScenario;lower bound confidence(response time:RealisticUsageScenario);upper bound confidence(response time:RealisticUsageScenario);alpha(response time:RealisticUsageScenario);ContinuousProcessingRateDegreeImpl:Server1:CPU;ContinuousProcessingRateDegreeImpl:Server1:HDD;ContinuousProcessingRateDegreeImpl:Server2:CPU;ContinuousProcessingRateDegreeImpl:Server2:HDD;AllocationDegreeImpl:Allocation_Assembly_FileStorage <FileStorage> <FileStorage>;AllocationDegreeImpl:Allocation_Assembly_Packaging <Packaging> <Packaging>;AllocationDegreeImpl:Allocation_Assembly_MediaAccess <MediaAccess> <MediaAccess>;AllocationDegreeImpl:Allocation_Assembly_MediaManagement <MediaManagement> <MediaManagement>;AllocationDegreeImpl:OSSECDecoderInstance_Allocation;AllocationDegreeImpl:OSSECAnalyzerInstance_Allocation;AllocationDegreeImpl:OSSECCollectInstance_Allocation;AllocationDegreeImpl:OSSECAlertInstance_Allocation;AllocationDegreeImpl:Adapter_DetectionInstance_Allocation;Util of Server1 CPU;Util of Server1 HDD;Util of Server2 CPU;Util of Server2 HDD;Util of Network LAN;Candidate ID;
3.872849896482002E54;61178.005117320834;6.344947997827255E-5;0.0;Infinity;0.95;1.0E9;5.0E7;1.0E9;6.0E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.009578351262879203;0.08035299924250039;3.32571904237966E-5;NaN;0.9998818513996416;0;
9.079967911235942E52;13535.889888585765;9.566024883711499E-5;0.0;Infinity;0.95;5.766686369444255E8;2.8559741988457803E7;5.104435013350304E8;6.200511980301974E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.021034619964252377;0.253519770791928;0.02044441100268124;NaN;0.9918360412553808;1;
2.217444966949116E55;10.138773959959053;6.0692742127166355E-5;0.0;Infinity;0.95;1.4728678974063478E9;4.621867737041862E7;7.652066948994541E8;7.081197963806427E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.031009743860414996;0.29819462253169315;4.534547967793845E-5;NaN;0.01039124174130801;2;
4.722125625847862E55;29449.082792267774;5.166378998844312E-5;0.0;Infinity;0.95;1.2078483769010153E9;7.911520670478414E7;1.6287175991852126E9;7.102090679333735E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.007277992726443139;0.07430886271524861;0.0019959893700309816;NaN;0.999964351326966;5;
1.513236985099709E56;25974.367837536927;4.899678115044548E-5;0.0;Infinity;0.95;1.9931882092166038E9;5.1584519223255195E7;1.2185122123413625E9;4.730684939741254E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.004818829476148201;0.12275137366723632;0.002685978287384594;NaN;0.9998808698165844;6;
8.674650152947732E55;77874.65548749221;5.261510135723402E-5;0.0;Infinity;0.95;1.134241534949408E9;6.859717056238228E7;1.8219688121196687E9;8.859665360348305E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);0.0032302431524956488;0.03634995385587747;0.0012603023535382452;NaN;0.9999631155244237;9;
6.421376751393101E55;72886.46608830993;5.228051887340435E-5;0.0;Infinity;0.95;1.722746294514755E9;5.734899242921668E7;1.2012766971831024E9;5.726407318333827E8;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.004509188718693546;0.066849040851371;2.2907217979595274E-5;NaN;0.9999445510236851;10;
4.04787944362004E55;11420.80514670378;5.705138433431678E-5;0.0;Infinity;0.95;1.619317110615552E9;4.0121929702796176E7;9.026059458387022E8;1.0699754195393122E9;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);5.078823444915059E-6;NaN;0.021533538022745935;0.006229145833536953;0.9999159282664509;13;
2.7888658277678185E56;10007.374944344054;4.3638854698824225E-5;0.0;Infinity;0.95;1.9983422377342672E9;3.553687944198947E7;1.9639095497404602E9;6.25211921344193E8;Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.005330459064294857;NaN;0.007619715124138837;0.016124730572106727;0.9995236658481991;14;
1.0001439768173278E56;27823.057846574437;4.715470080352002E-5;0.0;Infinity;0.95;1.584781739739361E9;9.015695143453932E7;1.756145481633999E9;1.1751678614682512E9;Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);Server1 (ID: _t8rcYHlPEeSGtbTG2d9Ipg);Server2 (ID: _dH4W0Lg3EeSNPorBlo7x9g);0.003851071570466713;0.04456375476141827;0.001990838193172917;NaN;0.999588808359382;17;
